"Date","Name","Year","Letterboxd.URI","Rating","Rewatch","Tags","Watched.Date"
"2024-04-03","The Omen",1976,"https://boxd.it/6cuLYD",5,"Yes","","2024-04-02"
"2024-04-12","Civil War",2024,"https://boxd.it/6ga2or",5,"","","2024-04-11"
"2024-04-27","12 Angry Men",1957,"https://boxd.it/6m3lDF",4.5,"","","2024-04-26"
"2024-05-05","The Omen",1976,"https://boxd.it/6pDuZT",5,"Yes","","2024-05-04"
"2024-05-20","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",2006,"https://boxd.it/6vDhan",4.5,"","","2024-05-18"
"2024-05-21","The Shining",1980,"https://boxd.it/6w4Ued",5,"Yes","","2024-05-20"
"2024-05-22","The Birds",1963,"https://boxd.it/6wppSt",5,"Yes","","2024-05-21"
"2024-05-27","The Lost Boys",1987,"https://boxd.it/6yzsXp",4,"","","2024-05-26"
"2024-07-06","Problemista",2023,"https://boxd.it/6OD1Hh",4,"","","2024-07-05"
"2024-07-07","All That Jazz",1979,"https://boxd.it/6P4Ltf",4,"","","2024-07-06"
"2024-07-12","Longlegs",2024,"https://boxd.it/6Rd8Un",4,"","","2024-07-11"
"2024-07-15","Persona",1966,"https://boxd.it/6SI5Bt",4,"","","2024-07-14"
"2024-07-30","Porco Rosso",1992,"https://boxd.it/6ZAubH",4,"Yes","","2024-07-29"
"2024-08-15","Alien",1979,"https://boxd.it/76cx1P",4.5,"Yes","","2024-08-13"
"2024-08-16","Alien: Romulus",2024,"https://boxd.it/76SGkZ",4,"","","2024-08-15"
"2024-08-19","The Texas Chain Saw Massacre",1974,"https://boxd.it/788JU3",5,"Yes","","2024-08-18"
"2024-08-23","Hunt for the Wilderpeople",2016,"https://boxd.it/7a6YEX",4,"","","2024-08-21"
"2024-08-25","Coraline",2009,"https://boxd.it/7bayVv",4,"Yes","","2024-08-24"
"2024-09-05","Mandy",2018,"https://boxd.it/7ghzfT",4,"Yes","","2024-09-04"
"2024-09-14","Trick 'r Treat",2007,"https://boxd.it/7kbZUH",4,"Yes","","2024-09-13"
"2024-09-17","Frankenweenie",2012,"https://boxd.it/7lojVD",4,"Yes","","2024-09-14"
"2024-09-25","The Substance",2024,"https://boxd.it/7oZ9jP",4.5,"","","2024-09-24"
"2024-10-04","Mandy",2018,"https://boxd.it/7t5LI7",4,"Yes","","2024-10-03"
"2024-10-15","Cure",1997,"https://boxd.it/7yHjbZ",4,"","","2024-10-14"
"2024-10-23","The Woman in Black",1989,"https://boxd.it/7Cqyml",5,"","","2024-10-20"
"2024-10-25","Uzumaki",2024,"https://boxd.it/7DE0KP",4,"","","2024-10-24"
"2024-10-28","Monster House",2006,"https://boxd.it/7F3f57",4.5,"Yes","","2024-10-26"
"2024-10-28","Frankenstein",1931,"https://boxd.it/7F3kDt",5,"Yes","","2024-10-26"
"2024-11-01","An American Werewolf in London",1981,"https://boxd.it/7HiZIH",4.5,"","","2024-10-28"
"2024-11-01","Wallace & Gromit: The Curse of the Were-Rabbit",2005,"https://boxd.it/7HiLiv",4,"Yes","","2024-10-31"
"2024-11-02","It's the Great Pumpkin, Charlie Brown",1966,"https://boxd.it/7HA7VN",5,"Yes","","2024-10-31"
"2024-11-02","Michael Jackson's Thriller",1983,"https://boxd.it/7HAcqb",5,"Yes","","2024-10-31"
"2024-11-12","Bullet Train",2022,"https://boxd.it/7MJKaf",4,"Yes","","2024-11-07"
"2024-11-12","Kwaidan",1964,"https://boxd.it/7MJLYZ",4.5,"","","2024-11-09"
"2024-11-12","Anora",2024,"https://boxd.it/7MJN7N",4,"","","2024-11-10"
"2024-11-17","Here",2024,"https://boxd.it/7PjaED",4,"","","2024-11-16"
"2024-11-19","Gladiator",2000,"https://boxd.it/7Qfk1H",4,"Yes","","2024-11-17"
"2024-11-20","Conclave",2024,"https://boxd.it/7QXP4v",4.5,"","","2024-11-19"
"2024-11-28","Cléo from 5 to 7",1962,"https://boxd.it/7V38lr",4,"","","2024-11-27"
"2024-12-01","Wicked",2024,"https://boxd.it/7Wy0zL",4,"","","2024-11-30"
"2024-12-10","Children of Men",2006,"https://boxd.it/80KNmL",5,"","","2024-12-08"
"2024-12-15","The Witch",2015,"https://boxd.it/83z7XF",4,"Yes","","2024-12-13"
"2024-12-18","The Northman",2022,"https://boxd.it/855bzb",4,"Yes","","2024-12-16"
"2024-12-20","Nosferatu",1922,"https://boxd.it/8674Or",4.5,"Yes","","2024-12-18"
"2024-12-23","Black Christmas",1974,"https://boxd.it/88gmbX",4,"Yes","","2024-12-22"
"2024-12-24","Krampus",2015,"https://boxd.it/88ZZAd",4,"Yes","","2024-12-23"
"2024-12-28","The Red Shoes",1948,"https://boxd.it/8cnxwx",4,"","","2024-12-27"
"2025-01-05","Shrek",2001,"https://boxd.it/8jBfFR",4,"Yes","","2025-01-03"
"2025-01-05","The Battle of Algiers",1966,"https://boxd.it/8kfIzX",4,"","","2025-01-04"
"2025-01-09","The 400 Blows",1959,"https://boxd.it/8o1ruT",4,"","","2025-01-08"
"2025-01-11","A Ghost Story",2017,"https://boxd.it/8qjS9x",4,"","","2025-01-10"
"2025-01-13","Zero Dark Thirty",2012,"https://boxd.it/8srzkl",4,"","","2025-01-12"
